concepts,image_paths,sentences,start,end
ability,stimuli/images/Ability/ability_1.jpg,His ability outshone his genius. ,4,11
ability,stimuli/images/Ability/ability_2.jpg,Her ability and knack got her where she is now.,4,11
ability,stimuli/images/Ability/ability_3.jpg,His ability and assertiveness made him an attractive candidate.,4,11
ability,stimuli/images/Ability/ability_4.jpg,The ability to cultivate creativity is much sought after nowadays.,4,11
ability,stimuli/images/Ability/ability_5.jpg,Having forethought is an important ability. ,35,42
ability,stimuli/images/Ability/ability_6.jpg,His unwavering intuition is a priceless ability. ,40,47
accomplished,stimuli/images/Accomplished/accomplished_1.jpg,The writer was quite accomplished and on his fourth book.,21,33
accomplished,stimuli/images/Accomplished/accomplished_2.jpg,The accomplished producer was well respected.,4,16
accomplished,stimuli/images/Accomplished/accomplished_3.jpg,The playwright dreamed of when he would be called accomplished.,50,62
accomplished,stimuli/images/Accomplished/accomplished_4.jpg,The accomplished choreographer awaited the performance.,4,16
accomplished,stimuli/images/Accomplished/accomplished_5.jpg,The thinker became accomplished through his writings. ,19,31
accomplished,stimuli/images/Accomplished/accomplished_6.jpg,The accomplished publicist had more clients than he could name. ,4,16
angry,stimuli/images/Angry/angry_1.jpg,He was angry and frightened at the same time. ,7,12
angry,stimuli/images/Angry/angry_2.jpg,He panicked at how angry his boss was. ,19,24
angry,stimuli/images/Angry/angry_3.jpg,She's angry because I offended her. ,6,11
angry,stimuli/images/Angry/angry_4.jpg,I was displeased with how outwardly angry he was. ,36,41
angry,stimuli/images/Angry/angry_5.jpg,"Dissatisfied and angry, he sulked in the corner. ",17,22
angry,stimuli/images/Angry/angry_6.jpg,"Flabbergasted at the results, she made an angry phone call. ",42,47
apartment,stimuli/images/Apartment/apartment_1.jpg,They rent out an apartment from their home.,17,26
apartment,stimuli/images/Apartment/apartment_2.jpg,The floor above the apartment is under renovation.,20,29
apartment,stimuli/images/Apartment/apartment_3.jpg,This apartment doesn't have a big kitchen.,5,14
apartment,stimuli/images/Apartment/apartment_4.jpg,Parts of the apartment can only be accessed by ladder.,13,22
apartment,stimuli/images/Apartment/apartment_5.jpg,The hallway in the apartment is long and skinny.,19,28
apartment,stimuli/images/Apartment/apartment_6.jpg,The apartment has the cutest little nooks. ,4,13
applause,stimuli/images/Applause/applause_1.jpg,The applause was drowned out by the cheering.,4,12
applause,stimuli/images/Applause/applause_2.jpg,The ruckus of the applause hurt her ears.,18,26
applause,stimuli/images/Applause/applause_3.jpg,The commotion of the applause was infectious. ,21,29
applause,stimuli/images/Applause/applause_4.jpg,Her applause was inhibited. ,4,12
applause,stimuli/images/Applause/applause_5.jpg,He caught an earful of applause on his way out. ,23,31
applause,stimuli/images/Applause/applause_6.jpg,The rowdy crowd burst into applause. ,27,35
