concept_id,concept_name,concreteness_rating,Pereira_image_paths,Pereira_sentences
1,ability,1.81,"['stimuli/images/Ability/ability_1.jpg', 'stimuli/images/Ability/ability_2.jpg', 'stimuli/images/Ability/ability_3.jpg', 'stimuli/images/Ability/ability_4.jpg', 'stimuli/images/Ability/ability_5.jpg', 'stimuli/images/Ability/ability_6.jpg']","['His ability outshone his genius. ', 'Her ability and knack got her where she is now.', 'His ability and assertiveness made him an attractive candidate.', 'The ability to cultivate creativity is much sought after nowadays.', 'Having forethought is an important ability. ', 'His unwavering intuition is a priceless ability. ']"
2,accomplished,1.7,"['stimuli/images/Accomplished/accomplished_1.jpg', 'stimuli/images/Accomplished/accomplished_2.jpg', 'stimuli/images/Accomplished/accomplished_3.jpg', 'stimuli/images/Accomplished/accomplished_4.jpg', 'stimuli/images/Accomplished/accomplished_5.jpg', 'stimuli/images/Accomplished/accomplished_6.jpg']","['The writer was quite accomplished and on his fourth book.', 'The accomplished producer was well respected.', 'The playwright dreamed of when he would be called accomplished.', 'The accomplished choreographer awaited the performance.', 'The thinker became accomplished through his writings. ', 'The accomplished publicist had more clients than he could name. ']"
3,angry,2.53,"['stimuli/images/Angry/angry_1.jpg', 'stimuli/images/Angry/angry_2.jpg', 'stimuli/images/Angry/angry_3.jpg', 'stimuli/images/Angry/angry_4.jpg', 'stimuli/images/Angry/angry_5.jpg', 'stimuli/images/Angry/angry_6.jpg']","['He was angry and frightened at the same time. ', 'He panicked at how angry his boss was. ', ""She's angry because I offended her. "", 'I was displeased with how outwardly angry he was. ', 'Dissatisfied and angry, he sulked in the corner. ', 'Flabbergasted at the results, she made an angry phone call. ']"
4,apartment,4.9,"['stimuli/images/Apartment/apartment_1.jpg', 'stimuli/images/Apartment/apartment_2.jpg', 'stimuli/images/Apartment/apartment_3.jpg', 'stimuli/images/Apartment/apartment_4.jpg', 'stimuli/images/Apartment/apartment_5.jpg', 'stimuli/images/Apartment/apartment_6.jpg']","['They rent out an apartment from their home.', 'The floor above the apartment is under renovation.', ""This apartment doesn't have a big kitchen."", 'Parts of the apartment can only be accessed by ladder.', 'The hallway in the apartment is long and skinny.', 'The apartment has the cutest little nooks. ']"
5,applause,4.29,"['stimuli/images/Applause/applause_1.jpg', 'stimuli/images/Applause/applause_2.jpg', 'stimuli/images/Applause/applause_3.jpg', 'stimuli/images/Applause/applause_4.jpg', 'stimuli/images/Applause/applause_5.jpg', 'stimuli/images/Applause/applause_6.jpg']","['The applause was drowned out by the cheering.', 'The ruckus of the applause hurt her ears.', 'The commotion of the applause was infectious. ', 'Her applause was inhibited. ', 'He caught an earful of applause on his way out. ', 'The rowdy crowd burst into applause. ']"
6,argument,2.85,"['stimuli/images/Argument/argument_1.jpg', 'stimuli/images/Argument/argument_2.jpg', 'stimuli/images/Argument/argument_3.jpg', 'stimuli/images/Argument/argument_4.jpg', 'stimuli/images/Argument/argument_5.jpg', 'stimuli/images/Argument/argument_6.jpg']","['The new evidence helped his argument.', 'I cannot confirm whether this argument is more valid. ', 'The first argument has a better explanation.', 'This argument has no conclusion.', 'The statement supports the second argument better. ', 'The truth cannot be found with this argument. ']"
7,argumentatively,2.07,"['stimuli/images/Argumentatively/argumentatively_1.jpg', 'stimuli/images/Argumentatively/argumentatively_2.jpg', 'stimuli/images/Argumentatively/argumentatively_3.jpg', 'stimuli/images/Argumentatively/argumentatively_4.jpg', 'stimuli/images/Argumentatively/argumentatively_5.jpg', 'stimuli/images/Argumentatively/argumentatively_6.jpg']","['He said his point argumentatively, and unadvisedly so.', ""Judging on how argumentatively she spoke, I'd say she's hardhearted. "", 'She pitilessly tore apart his argumentatively structured essay.', 'The opaquely constructed thought meshed with how argumentatively she attacked him.', 'She approached the conversation precociously and argumentatively.', 'Beginning provocatively and ending argumentatively, he made a bad impression.']"
8,art,4.17,"['stimuli/images/Art/art_1.jpg', 'stimuli/images/Art/art_2.jpg', 'stimuli/images/Art/art_3.jpg', 'stimuli/images/Art/art_4.jpg', 'stimuli/images/Art/art_5.jpg', 'stimuli/images/Art/art_6.jpg']","['The poetry workshop was a work of art in itself.', 'The tradition of art in this school is strong. ', 'The art exhibition left many breathless.', 'The contemporary art left much to be desired. ', 'Medieval art is not up her alley.', ""The irony of the piece was that it wasn't art in any shape or form.""]"
9,attitude,1.97,"['stimuli/images/Attitude/attitude_1.jpg', 'stimuli/images/Attitude/attitude_2.jpg', 'stimuli/images/Attitude/attitude_3.jpg', 'stimuli/images/Attitude/attitude_4.jpg', 'stimuli/images/Attitude/attitude_5.jpg', 'stimuli/images/Attitude/attitude_6.jpg']","['She has a negative attitude.', ""His selfish attitude won't get him far. "", 'Generally, her attitude is condescending. ', 'He needs to work on his domineering attitude.', 'His humorless attitude is stereotypical for his family.', 'His attitude about this problem is nonchalant. ']"
10,bag,4.9,"['stimuli/images/Bag/bag_1.jpg', 'stimuli/images/Bag/bag_2.jpg', 'stimuli/images/Bag/bag_3.jpg', 'stimuli/images/Bag/bag_4.jpg', 'stimuli/images/Bag/bag_5.jpg', 'stimuli/images/Bag/bag_6.jpg']","['She wanted to pack a bag for the day trip. ', 'He put his wallet in her bag.', 'The leather bag fell from the shelf.', 'He had a bag and a laptop to put in it.', 'The trusty satchel was her favorite bag. ', 'The umbrella was too big for her bag.']"
